NAME;RATING;BASE;GROSS
Kck-Ass;7,60;48,07;48070000,00
Moneyball;7,60;75,61;75610000,00
The Skn Lve n;7,60;3,19;3190000,00
Zombeland;7,60;75,59;75590000,00
Sherlock Holmes;7,60;209,03;209030000,00
The Blnd Sde;7,60;255,96;255960000,00
The Vstor;7,60;9,42;9420000,00
Seven Pounds;7,60;69,95;69950000,00
Eastern Promses;7,60;17,11;17110000,00
Stardust;7,60;38,63;38630000,00
The Secret of Kells;7,60;0,69;690000,00
nsde Man;7,60;88,51;88510000,00
Gone Baby Gone;7,60;20,3;20300000,00
La Ve En Rose;7,60;10,3;10300000,00
Fearless;7,60;24,63;24630000,00
The llusonst;7,60;39,87;39870000,00
Dead Man's Shoes;7,60;0,01;10000,00
Harry Potter and the Half-Blood Prnce;7,60;301,96;301960000,00
300;7,60;210,61;210610000,00
Match Pont;7,60;23,09;23090000,00
Watchmen;7,60;107,51;107510000,00
Lord of War;7,60;24,15;24150000,00
Saw;7,60;56;56000000,00
Mysterous Skn;7,60;0,7;700000,00
A Very Long Engagement;7,60;6,17;6170000,00
The Staton Agent;7,60;5,74;5740000,00
21 Grams;7,60;16,29;16290000,00
Sympathy for Mr. Vengeance;7,60;0,05;50000,00
25th Hour;7,60;13,06;13060000,00
The Butterfly Effect;7,60;57,94;57940000,00
Am Sam;7,60;40,31;40310000,00
The Royal Tenenbaums;7,60;52,36;52360000,00
Y Tu MamÃ¡ TambÃ©n;7,60;13,62;13620000,00
Harry Potter and the Sorcerer's Stone;7,60;317,58;317580000,00
The Others;7,60;96,52;96520000,00
Enemy at the Gates;7,60;51,4;51400000,00
Traffc;7,60;124,12;124120000,00
Mnorty Report;7,60;132,07;132070000,00
Amercan Psycho;7,60;15,07;15070000,00
The Thn Red Lne;7,60;36,4;36400000,00
Mulan;7,60;120,62;120620000,00
Fear and Loathng n Las Vegas;7,60;10,68;10680000,00
Dark Cty;7,60;14,38;14380000,00
Lost Hghway;7,60;3,8;3800000,00
De Hard wth a Vengeance;7,60;100,01;100010000,00
The Brdges of Madson County;7,60;71,52;71520000,00
Apollo 13;7,60;173,84;173840000,00
Three Colors: Whte;7,60;1,46;1460000,00
Fallng Down;7,60;40,9;40900000,00
Dazed and Confused;7,60;7,99;7990000,00
My Cousn Vnny;7,60;52,93;52930000,00
Only Yesterday;7,60;0,45;450000,00
Delcatessen;7,60;1,79;1790000,00
The Hunt for Red October;7,60;122,01;122010000,00
Home Alone;7,60;285,76;285760000,00
The Godfather: Part ;7,60;66,67;66670000,00
When Harry Met Sally...;7,60;92,82;92820000,00
The Lttle Mermad;7,60;111,54;111540000,00
The Naked Gun: From the Fles of Polce Squad!;7,60;78,76;78760000,00
Wthnal & ;7,60;1,54;1540000,00
Lethal Weapon;7,60;65,21;65210000,00
Blood Smple;7,60;2,15;2150000,00
On Golden Pond;7,60;119,29;119290000,00
Mad Max 2: The Road Warror;7,60;12,47;12470000,00
The Warrors;7,60;22,49;22490000,00
The Muppet Move;7,60;76,66;76660000,00
Escape from Alcatraz;7,60;43;43000000,00
Close Encounters of the Thrd Knd;7,60;132,09;132090000,00
The Long Goodbye;7,60;0,96;960000,00
Duck You Sucker;7,60;0,7;700000,00
Kelly's Heroes;7,60;1,38;1380000,00
The Jungle Book;7,60;141,84;141840000,00
A Hard Day's Nght;7,60;13,78;13780000,00
Shane;7,60;20;20000000,00
From Here to Eternty;7,60;30,5;30500000,00
