NAME;RATING;GROSS
Rase the Red Lantern;81;2600000
Dead Poets Socety;81;95860000
The Prncess Brde;81;30860000
Stand by Me;81;52290000
Platoon;81;138530000
The Sacrfce;81;300000
Pars Texas;81;2180000
NauscaÃ¤ of the Valley of the Wnd;81;500000
The Thng;81;13780000
Fanny and Alexander;81;4970000
Blade Runner;81;32870000
Stalker;81;230000
Monty Python's Lfe of Bran;81;20050000
The Deer Hunter;81;48980000
Rocky;81;117240000
Mrror;81;180000
Paper Moon;81;30930000
Cres & Whspers;81;1740000
Le SamouraÃ¯;81;40000
Cool Hand Luke;81;16220000
AndreRublev;81;100000
The Battle of Algers;81;60000
What Ever Happened to Baby Jane?;81;4050000
The Vrgn Sprng;81;1530000
Ben-Hur;81;74700000
Nghts of Cabra;81;750000
The Brdge on the Rver Kwa;81;44910000
Rff;81;60000
On the Waterfront;81;9600000
Ace n the Hole;81;3970000
The Thrd Man;81;450000
The Red Shoes;81;10900000
The Best Years of Our Lves;81;23650000
The Shop Around the Corner;81;200000
Rebecca;81;4360000
The Grapes of Wrath;81;60000
Mr. Smth Goes to Washngton;81;9600000
Gone wth the Wnd;81;198680000
La Grande lluson;81;170000
t Happened One Nght;81;4360000
All Quet on the Western Front;81;3270000
The Passon of Joan of Arc;81;20000
Sunrse;81;540000
The General;81;1030000
BajrangBhajaan;80;8180000
La La Land;80;151100000
Lon;80;51740000
The Martan;80;228430000
Zootopa;80;341270000
Baahubal: The Begnnng;80;6740000
The Tale of The Prncess Kaguya;80;1510000
Wonder;80;132420000
Gully Boy;80;5570000
Specal 26;80;1080000
Short Term 12;80;1010000
The Rad 2;80;2630000
The mtaton Game;80;91130000
Guardans of the Galaxy;80;333180000
Blade Runner 2049;80;92050000
Her;80;25570000
The Revenant;80;183640000
The Perks of Beng a Wallflower;80;17740000
Elte Squad 2: The Enemy Wthn;80;100000
The Kng's Speech;80;138800000
The Help;80;169710000
Deadpool;80;363070000
Darbareye Elly;80;110000
Dev.D;80;10000
My Name s Khan;80;4020000
Slumdog Mllonare;80;141320000
Black Swan;80;106950000
Elte Squad;80;10000
The Avengers;80;623280000
Persepols;80;4450000
Dallas Buyers Club;80;27300000
Lage Raho Munna Bha;80;2220000
The Pursut of Happyness;80;163570000
Blood Damond;80;57370000
The Bourne Ultmatum;80;227470000
3-ron;80;240000
Sn Cty;80;74100000
Tae Guk G: The Brotherhood of War;80;1110000
Ratatoulle;80;206450000
Casno Royale;80;167450000
Kll Bll: Vol. 2;80;66210000
The Return;80;500000
Sprng Summer Fall Wnter... and Sprng;80;2380000
The Sea nsde;80;2090000
Cnderella Man;80;61650000
nfernal Affars;80;170000
Prates of the Carbbean: The Curse of the Black Pearl;80;305410000
Bg Fsh;80;66260000
The ncredbles;80;261440000
Dogvlle;80;1530000
Donne Darko;80;1480000
Magnola;80;22460000
Dancer n the Dark;80;4180000
The Straght Story;80;6200000
Perfect Blue;80;780000
Central Staton;80;5600000
The ron Gant;80;23160000
Slng Blade;80;24480000
Secrets & Les;80;13420000
12 Monkeys;80;57140000
Ghost n the Shell;80;520000
The Nghtmare Before Chrstmas;80;75080000
Groundhog Day;80;70910000
Blood n Blood Out;80;4500000
Scent of a Woman;80;63900000
Aladdn;80;217350000
JFK;80;70410000
Beauty and the Beast;80;218970000
Dances wth Wolves;80;184210000
Do the Rght Thng;80;27550000
Akra;80;550000
Wngs of Desre;80;3330000
Au Revor les Enfants;80;4540000
The Termnator;80;38400000
Pnk Floyd: The Wall;80;22240000
Gandh;80;52770000
Beng There;80;30180000
Anne Hall;80;39200000
All the Presdent's Men;80;70600000
Jaws;80;260000000
Dog Day Afternoon;80;50000000
Young Frankensten;80;86300000
Papllon;80;53270000
The Exorcst;80;232910000
Sleuth;80;4080000
The Last Pcture Show;80;29130000
Fddler on the Roof;80;80500000
The Conformst;80;540000
Butch Cassdy and the Sundance Kd;80;102310000
Planet of the Apes;80;33400000
The Graduate;80;104950000
The Sound of Musc;80;163210000
Doctor Zhvago;80;111720000
A Fstful of Dollars;80;14500000
8Â½;80;50000
The Hustler;80;8280000
La Dolce Vta;80;19520000
Ro Bravo;80;12540000
Anatomy of a Murder;80;11900000
Touch of Evl;80;2240000
Cat on a Hot Tn Roof;80;17570000
The Nght of the Hunter;80;650000
Hgh Noon;80;9450000
A Streetcar Named Desre;80;8000000
Strangers on a Tran;80;7630000
Notorous;80;10460000
Laura;80;4360000
The Maltese Falcon;80;2110000
The Wzard of Oz;80;2080000
Battleshp Potemkn;80;50000
Knves Out;79;165360000
Shoplfters;79;3310000
Marrage Story;79;2000000
Call Me by Your Name;79;18100000
 Danel Blake;79;260000
sle of Dogs;79;32020000
Hunt for the Wlderpeople;79;5200000
M.S. Dhon: The Untold Story;79;1780000
Captan Fantastc;79;5880000
Sng Street;79;3240000
Thor: Ragnarok;79;315060000
Jojo Rabbt;79;350000
Arrval;79;100550000
Star Wars: Epsode V- The Force Awakens;79;936660000
Before Mdnght;79;8110000
X-Men: Days of Future Past;79;233920000
Once Upon a Tme n Anatola;79;140000
Boheman Rhapsody;79;216430000
The Artst;79;44670000
Edge of Tomorrow;79;100210000
Amour;79;6740000
A Prophet;79;2080000
Moon;79;5010000
Let the Rght One n;79;2120000
Dstrct 9;79;115650000
The Wrestler;79;26240000
Jab We Met;79;410000
Boyhood;79;25380000
4 Months 3 Weeks and 2 Days;79;1190000
Star Trek;79;257730000
n Bruges;79;7760000
Letters from wo Jma;79;13760000
The Fall;79;2280000
Lfe of P;79;124990000
Fantastc Mr. Fox;79;21000000
The Chorus;79;3640000
ron Man;79;318410000
Shaun of the Dead;79;13540000
Kal Ho Naa Ho;79;1790000
Mystc Rver;79;90140000
Harry Potter and the Prsoner of Azkaban;79;249360000
Hero;79;53710000
Talk to Her;79;9280000
No Man's Land;79;1060000
Cowboy Bebop: The Move;79;1000000
The Bourne dentty;79;121660000
Nne Queens;79;1220000
Chldren of Men;79;35550000
All About My Mother;79;8260000
Almost Famous;79;32530000
Mulholland Dr.;79;7220000
Shrek;79;267670000
Toy Story 2;79;245850000
Knockn' on Heaven's Door;79;0
Booge Nghts;79;26400000
Once Were Warrors;79;2200000
True Romance;79;12280000
Three Colors: Blue;79;1320000
Carlto's Way;79;36950000
Edward Scssorhands;79;56360000
Crmes and Msdemeanors;79;18250000
The Untouchables;79;76270000
Hannah and Her Ssters;79;40080000
Brazl;79;9930000
Ths s Spnal Tap;79;190000
A Chrstmas Story;79;20610000
The Blues Brothers;79;57230000
Manhattan;79;45700000
All That Jazz;79;37820000
Dawn of the Dead;79;5100000
The Holy Mountan;79;60000
Amarcord;79;580000
The Dscreet Charm of the Bourgeose;79;200000
Patton;79;61700000
The Wld Bunch;79;12060000
Nght of the Lvng Dead;79;90000
The Lon n Wnter;79;22280000
n the Heat of the Nght;79;24380000
Charade;79;13470000
Spartacus;79;30000000
Hroshma Mon Amour;79;90000
The Ten Commandments;79;93740000
Mracle on 34th Street;79;2650000
The Bg Sleep;79;6540000
The Lost Weekend;79;9460000
Hs Grl Frday;79;300000
The Adventures of Robn Hood;79;3980000
A Nght at the Opera;79;2540000
Kng Kong;79;10000000
The Salesman;78;2400000
Dunkrk;78;188370000
Hdden Fgures;78;169610000
Paddngton 2;78;40440000
Kubo and the Two Strngs;78;48020000
Manchester by the Sea;78;47700000
Land of Mne;78;440000
Rogue One: A Star Wars Story;78;532180000
Captan Amerca: Cvl War;78;408080000
The Hateful Eght;78;54120000
Lttle Women;78;108100000
Lovng Vncent;78;6740000
Nghtcrawler;78;32380000
The Great Beauty;78;2850000
The Lunchbox;78;4230000
Vcky Donor;78;170000
Bg Hero 6;78;222530000
KaPo Che;78;1120000
About Tme;78;15320000
Englsh Vnglsh;78;1670000
The Wnd Rses;78;5210000
The Best Offer;78;90000
Moonrse Kngdom;78;45510000
How to Tran Your Dragon 2;78;177000000
The Bg Short;78;70260000
Saw the Devl;78;130000
The Grl wth the Dragon Tattoo;78;102520000
Captan Phllps;78;107100000
The Man from Nowhere;78;10000
Straght Outta Compton;78;161200000
The rshman;78;7000000
Mother;78;550000
The Hobbt: The Desolaton of Smaug;78;258370000
The Whte Rbbon;78;2220000
The Grl wth the Dragon Tattoo;78;10100000
The Fghter;78;93620000
Taken;78;145000000
The Boy n the Strped Pajamas;78;9030000
Once;78;9440000
The Hobbt: An Unexpected Journey;78;303000000
The Edge of Heaven;78;740000
Atonement;78;50930000
Drve;78;35060000
Amercan Gangster;78;130160000
Avatar;78;760510000
Mr. Nobody;78;0
Apocalypto;78;50870000
Lttle Mss Sunshne;78;59890000
Hot Fuzz;78;23640000
The Curous Case of Benjamn Button;78;127510000
Veer-Zaara;78;2920000
Adam's Apples;78;0
Prde & Prejudce;78;38410000
The World's Fastest ndan;78;5130000
Tokyo Godfathers;78;130000
Serenty;78;25510000
Walk the Lne;78;119520000
Evl;78;20000
The Notebook;78;81000000
The Motorcycle Dares;78;16760000
Llya 4-Ever;78;180000
The Trplets of Bellevlle;78;7000000
Wakng Lfe;78;2890000
Remember the Ttans;78;115650000
Crouchng Tger Hdden Dragon;78;128080000
Cast Away;78;233630000
The Boondock Sants;78;30000
The nsder;78;28970000
October Sky;78;32480000
Ttanc;78;659330000
Freworks;78;230000
Gattaca;78;12340000
The Game;78;48320000
Ed Wood;78;5890000
Tombstone;78;56510000
The Sandlot;78;32420000
The Remans of the Day;78;22950000
Naked;78;1770000
The Fugtve;78;183880000
A Bronx Tale;78;17270000
Batman: Mask of the Phantasm;78;5620000
Boyz n the Hood;78;57500000
Msery;78;61280000
Awakenngs;78;52100000
Back to the Future Part ;78;118500000
MssssppBurnng;78;34600000
Predator;78;59740000
Ferrs Bueller's Day Off;78;70140000
The Goones;78;61500000
The Color Purple;78;98470000
The Breakfast Club;78;45880000
The Kllng Felds;78;34700000
Ghostbusters;78;238630000
The Rght Stuff;78;21500000
The Kng of Comedy;78;2500000
E.T. the Extra-Terrestral;78;435110000
Kramer vs. Kramer;78;106260000
The Outlaw Josey Wales;78;31800000
The Conversaton;78;4420000
Fantastc Planet;78;190000
The Day of the Jackal;78;16060000
Cabaret;78;42770000
Wlly Wonka & the Chocolate Factory;78;4000000
Mdnght Cowboy;78;44790000
Wat Untl Dark;78;17550000
Guess Who's Comng to Dnner;78;56700000
My Far Lady;78;72000000
Mary Poppns;78;102270000
The Longest Day;78;39100000
The nnocents;78;2620000
Breathless;78;340000
The Quet Man;78;10550000
The Afrcan Queen;78;540000
God's Own Country;77;340000
Deadpool 2;77;324590000
Wnd Rver;77;33800000
Get Out;77;176040000
Msson: mpossble - Fallout;77;220160000
A Man Called Ove;77;3360000
What We Do n the Shadows;77;3330000
When Marne Was There;77;770000
The Theory of Everythng;77;35890000
Kngsman: The Secret Servce;77;128260000
The Fault n Our Stars;77;124870000
Me and Earl and the Dyng Grl;77;6740000
Brdman or (The Unexpected Vrtue of gnorance);77;42340000
The Past;77;1330000
Blue s the Warmest Colour;77;2200000
The Broken Crcle Breakdown;77;180000
Toy Story 4;77;434040000
Captan Amerca: The Wnter Solder;77;259770000
Rockstar;77;990000
Nebraska;77;17650000
Wreck-t Ralph;77;189420000
The Lttle Prnce;77;1340000
Detachment;77;70000
Mdnght n Pars;77;56820000
The Lego Move;77;257760000
Gravty;77;274090000
Star Trek nto Darkness;77;228780000
Beasts of No Naton;77;80000
The Socal Network;77;96960000
X: Frst Class;77;146410000
The Hangover;77;277320000
Skyfall;77;304360000
Slver Lnngs Playbook;77;132090000
Argo;77;136030000
500 Days of Summer;77;32390000
